Clients,Throughput,ResponseTime,Goodput,TimeoutRate,ErrorRate,RequestSentRate,avg_cpu_utilization_%,avg_active_threads
10,4.33,.28721390000000000000,35.57,0,0,4.33,36.77,6.00
20,7.99,.47368090000000000000,45.13,0,0,7.99,43.80,6.00
30,10.64,.79031826666666666666,41.97,0,0,10.64,53.06,6.00
40,13.19,1.00209530000000000000,42.45,0,0,13.19,59.26,6.00
50,15.03,1.30666914000000000000,40.20,0,0,15.03,62.19,6.00
60,16.83,1.52972908333333333333,40.75,0,0,16.83,64.58,6.00
70,18.64,1.72099284285714285714,41.93,0,0,18.64,70.20,6.00
80,19.95,1.96386710000000000000,41.66,0,0,19.95,72.07,6.00
90,20.83,2.25109453333333333333,40.54,0,0,20.83,75.90,6.00
100,22.07,2.44669030000000000000,41.23,0,0,22.07,75.06,6.00
