Clients,Throughput,ResponseTime,Goodput,TimeoutRate,ErrorRate,RequestSentRate
10,3.65,.69280610000000000000,14.52,0,0,3.65
20,6.58,1.00548205000000000000,20.55,0,0,6.58
30,9.13,1.23813890000000000000,24.94,0,0,9.13
40,11.00,1.58431445000000000000,25.93,0,0,11.00
50,12.56,1.90359142000000000000,26.53,0,0,12.56
60,14.39,2.08619486666666666666,29.03,0,0,14.39
70,16.03,2.31503641428571428571,30.54,0,0,16.03
80,17.02,2.64891351250000000000,30.56,0,0,17.02
90,18.73,2.71000634444444444444,33.49,0,0,18.73
100,19.82,2.94553461000000000000,33.98,0,0,19.82
